gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0232,Scd,0.164109349715,0.000152282602154,3.60404791504e-06,5.09045086874e-05,-9.04032612072e-11,-3.11398922834e-07,2.40791848664e-10
K0272,E7,0.310533443262,0.000894573917158,0.00196856662208,0.000867144302606,-5.47503895462e-07,9.55766633187e-06,1.86791454679e-07
K0273,Sc,0.225273939845,0.024526114535,9.26821261431e-05,0.000281878070944,8.0442596254e-09,1.24400181582e-05,8.4279392313e-10
K0274,Sab,0.26155072,0.0389282608009,0.000717160925477,0.000706693060028,2.91010469804e-07,9.27046262565e-05,1.68344404861e-07
K0275,Sbc,0.163310401932,0.000430215684304,0.000584890055017,0.000361122043078,3.20166744223e-10,-4.22376641948e-09,2.44623080452e-09
K0277,Sbc,0.16867096887,0.000321299639316,0.000356392324078,8.74508269741e-05,-4.08263334435e-09,-2.24125330397e-07,-9.23872498683e-11
K0278,Sb,0.20381246786,0.0146640990755,0.000812782426788,0.000868149664134,7.00889658584e-09,1.61117986848e-05,-2.83022985004e-08
K0279,E6,0.267688618621,0.00254809263254,0.000276705211826,0.00121870372865,-1.01735483096e-08,-1.61616511733e-05,-9.70525632304e-08
K0306,Sd,0.215501223043,0.0193855627771,0.000707965143124,0.000818607989821,-1.9380315081e-09,3.92332870291e-06,2.81410070587e-08
K0307,Sb,0.224073250835,0.0229078481218,0.00864568539203,0.00765350288261,2.0950386522e-07,-0.000114129000039,9.4169165784e-07
K0311,Sab,0.163369878853,0.000125294777118,0.000344582340496,0.000187548735398,1.18931099163e-10,-6.73004116228e-08,4.34258893206e-10
K0312,Sdm,0.166729998935,0.00102577685026,0.0010286436211,0.000237989788729,-3.49283241413e-09,-1.66816565308e-07,-3.77681286382e-10
K0314,Sa,0.265166557137,0.0431023305867,0.0212329603886,0.0199707267174,-1.45306574017e-06,0.000225619545951,1.75350834697e-05
K0318,E3,0.27947674144,0.000862210230408,0.0120657165909,0.00304809902767,-5.05959741619e-07,-1.38210954072e-07,-2.71367269806e-08
K0326,Sb,0.275734509057,0.0474112124951,0.00311399101133,0.000611096083768,-2.9913089158e-08,-3.76532351997e-06,-1.2593324132e-09
K0339,S0a,0.250283938709,0.00542145078007,0.00326720847175,0.000756087118819,2.05058855487e-06,6.74112001901e-05,8.74355756531e-07
K0341,E6,0.182427934593,0.00217383626679,0.000934791541016,0.000418202109846,-1.42189816522e-09,6.34671300539e-07,2.55694298748e-09
